Player,Team,Season,PPG,RPG,APG,Win%,WS,MVP,ORtg,DRtg,PER,BPM,USG%,VORP
Al Jefferson,MIN,08/09,23.1,11.0,1.6,0.293,4.9,0,109,108,23.1,2.6,28.9,2.1
Charlie Villanueva,MIL,08/09,16.2,6.7,1.8,0.415,4.9,0,106,106,18.6,1.1,28.5,1.6
Derrick Rose,CHI,08/09,16.8,3.9,6.3,0.5,4.9,0,108,113,16.0,-0.4,22.6,1.2
Eddie House,BOS,08/09,8.5,1.9,1.1,0.756,4.9,0,115,103,15.4,3.5,20.1,2.0
Kevin Martin,SAC,08/09,24.6,3.6,2.7,0.207,4.7,0,115,117,19.2,0.5,27.4,1.3
Roger Mason,SAS,08/09,11.8,3.1,2.1,0.659,4.7,0,107,107,11.9,-0.9,18.9,0.7
Hakim Warrick,MEM,08/09,11.6,5.0,0.8,0.293,4.7,0,111,110,16.9,-0.7,22.0,0.7
Andrei Kirilenko,UTA,08/09,11.6,4.8,2.6,0.585,4.6,0,109,105,16.8,2.6,20.3,2.2
Eric Gordon,LAC,08/09,16.1,2.6,2.8,0.232,4.6,0,112,115,14.9,-0.4,20.7,1.0
Tyrus Thomas,CHI,08/09,10.8,6.4,1.0,0.5,4.6,0,104,104,15.9,0.0,19.4,1.1
Rasual Butler,NOP,08/09,11.2,3.3,0.9,0.598,4.6,0,109,109,11.8,-0.5,16.8,1.0
Greg Oden,POR,08/09,8.9,7.0,0.5,0.659,4.6,0,116,104,18.1,-1.1,19.3,0.3
Mike Conley,MEM,08/09,10.9,3.4,4.3,0.293,4.5,0,109,111,14.3,-0.3,17.9,1.1
Richard Hamilton,DET,08/09,18.3,3.1,4.4,0.476,4.5,0,108,112,16.9,0.1,27.0,1.2
Caron Butler,WAS,08/09,20.8,6.2,4.3,0.232,4.5,0,108,113,18.8,0.9,25.9,1.9
Wally Szczerbiak,CLE,08/09,7.0,3.1,1.1,0.805,4.5,0,116,105,12.1,0.1,15.4,0.8
Kurt Thomas,SAS,08/09,4.3,5.1,0.8,0.659,4.5,0,115,101,14.0,-0.3,12.6,0.6
Michael Finley,SAS,08/09,9.7,3.3,1.4,0.659,4.4,0,107,107,11.4,-0.4,16.1,1.0
Courtney Lee,ORL,08/09,8.4,2.3,1.2,0.72,4.4,0,107,104,10.7,-0.1,15.5,0.9
T.J. Ford,IND,08/09,14.9,3.5,5.3,0.439,4.3,0,108,110,16.6,0.3,23.5,1.3
Raymond Felton,CHO,08/09,14.2,3.8,6.7,0.427,4.3,0,101,107,13.7,-0.1,21.9,1.4
Mike Miller,MIN,08/09,9.9,6.6,4.5,0.293,4.2,0,112,112,13.8,1.1,14.5,1.8
Jeff Foster,IND,08/09,6.1,6.9,1.8,0.439,4.2,0,115,108,13.0,-0.6,12.0,0.7
James Posey,NOP,08/09,8.9,4.8,1.1,0.598,4.2,0,109,107,10.8,-1.0,15.0,0.6
Jeff Green,OKC,08/09,16.5,6.7,2.0,0.28,4.2,0,105,110,13.9,-1.2,21.2,0.6
Chris Duhon,NYK,08/09,11.1,3.1,7.2,0.39,4.2,0,110,114,12.2,-1.5,14.9,0.3
Jason Maxiell,DET,08/09,5.8,4.2,0.3,0.476,4.1,0,120,108,15.8,-0.6,14.7,0.5
Jarrett Jack,IND,08/09,13.1,3.4,4.1,0.439,4.1,0,107,111,13.1,-1.4,18.5,0.4
Kelenna Azubuike,GSW,08/09,14.4,5.0,1.6,0.354,4.1,0,114,115,14.7,-0.5,18.7,0.9
Brandon Bass,DAL,08/09,8.5,4.5,0.5,0.61,4.1,0,113,108,16.4,-1.5,20.0,0.2
Samuel Dalembert,PHI,08/09,6.4,8.5,0.2,0.5,4.0,0,103,103,13.2,-2.1,13.6,0.0
Luc Mbah a Moute,MIL,08/09,7.2,5.9,1.1,0.415,4.0,0,106,106,12.3,-0.8,14.3,0.6
Kenyon Martin,DEN,08/09,11.7,6.0,2.0,0.659,4.0,0,104,105,13.6,0.3,17.7,1.2
Zaza Pachulia,ATL,08/09,6.2,5.7,0.7,0.573,3.9,0,113,106,14.1,-2.6,16.3,-0.2
Andrea Bargnani,TOR,08/09,15.4,5.3,1.2,0.402,3.9,0,105,110,14.6,-0.8,22.7,0.7
Marreese Speights,PHI,08/09,7.7,3.7,0.4,0.5,3.8,0,115,107,17.9,-1.4,21.9,0.2
Rodney Stuckey,DET,08/09,13.4,3.5,4.9,0.476,3.8,0,104,110,14.8,-0.5,23.0,0.9
Maurice Evans,ATL,08/09,7.2,3.0,0.7,0.573,3.8,0,115,110,11.1,-0.8,14.2,0.6
Daniel Gibson,CLE,08/09,7.8,2.1,1.8,0.805,3.8,0,108,106,10.1,-1.0,16.5,0.4
Peja Stojaković,NOP,08/09,13.3,4.3,1.2,0.598,3.8,0,108,109,12.5,-0.7,18.8,0.7
Ben Wallace,CLE,08/09,2.9,6.5,0.8,0.805,3.8,0,111,98,12.2,1.6,7.8,1.2
Sasha Vujačić,LAL,08/09,5.8,1.7,1.4,0.793,3.7,0,115,104,12.6,0.8,16.0,0.9
Nicolas Batum,POR,08/09,5.4,2.8,0.9,0.659,3.7,0,117,107,12.9,1.4,14.0,1.2
Kyle Korver,UTA,08/09,9.0,3.3,1.8,0.585,3.7,0,110,109,12.1,0.1,16.9,1.0
Glen Davis,BOS,08/09,7.0,4.0,0.9,0.756,3.7,0,106,103,10.7,-2.2,17.1,0.0
Keyon Dooling,BRK,08/09,9.7,2.0,3.5,0.415,3.7,0,112,113,13.6,-0.5,17.4,0.7
Linas Kleiza,DEN,08/09,9.9,4.0,0.8,0.659,3.6,0,110,110,13.2,-1.5,20.0,0.2
Aaron Brooks,HOU,08/09,11.2,2.0,3.0,0.646,3.6,0,105,108,12.9,-0.9,22.9,0.6
Ronny Turiaf,GSW,08/09,5.9,4.6,2.1,0.354,3.6,0,116,110,14.5,1.2,12.4,1.4
Anthony Parker,TOR,08/09,10.7,4.0,3.4,0.402,3.4,0,105,111,12.1,-0.7,16.3,0.8
Luke Ridnour,MIL,08/09,9.6,3.0,5.1,0.415,3.4,0,105,108,12.9,0.0,18.0,1.0
Bobby Simmons,BRK,08/09,7.8,3.9,1.3,0.415,3.4,0,116,112,12.0,0.0,14.3,0.8
Tyson Chandler,NOP,08/09,8.8,8.7,0.5,0.598,3.4,0,113,107,13.4,-2.5,13.7,-0.2
Lou Williams,PHI,08/09,12.8,2.0,3.0,0.5,3.4,0,105,109,16.3,0.6,27.7,1.3
Michael Beasley,MIA,08/09,13.9,5.4,1.0,0.524,3.4,0,103,108,17.2,-1.7,27.7,0.1
O.J. Mayo,MEM,08/09,18.5,3.8,3.2,0.293,3.4,0,103,112,14.2,-1.3,24.5,0.6
Marcin Gortat,ORL,08/09,3.8,4.5,0.2,0.72,3.3,0,121,97,17.0,1.1,13.5,0.6
Corey Maggette,GSW,08/09,18.6,5.5,1.8,0.354,3.3,0,112,114,16.9,-2.0,25.2,0.0
Rudy Gay,MEM,08/09,18.9,5.5,1.7,0.293,3.3,0,101,110,15.3,-1.1,25.6,0.7
C.J. Watson,GSW,08/09,9.5,2.5,2.7,0.354,3.3,0,114,114,14.2,-0.5,16.8,0.7
Michael Redd,MIL,08/09,21.2,3.2,2.7,0.415,3.2,0,114,111,17.9,2.2,25.0,1.3
Josh Howard,DAL,08/09,18.0,5.1,1.6,0.61,3.2,0,106,109,17.0,0.0,26.7,0.8
Craig Smith,MIN,08/09,10.1,3.8,1.1,0.293,3.1,0,112,112,16.9,-0.6,22.5,0.5
Ronald Murray,ATL,08/09,12.2,2.1,2.0,0.573,3.1,0,104,109,14.7,-0.5,24.3,0.8
Randy Foye,MIN,08/09,16.3,3.1,4.3,0.293,3.1,0,106,113,13.7,-0.8,22.6,0.8
Wilson Chandler,NYK,08/09,14.4,5.4,2.1,0.39,3.1,0,103,110,12.9,-1.0,20.5,0.7
Anthony Morrow,GSW,08/09,10.1,3.0,1.2,0.354,3.0,0,119,117,14.7,-0.2,17.7,0.7
Mickaël Piétrus,ORL,08/09,9.4,3.3,1.2,0.72,3.0,0,106,104,11.6,0.3,18.4,0.8
James Singleton,DAL,08/09,5.1,4.0,0.3,0.61,3.0,0,122,106,16.4,-0.5,15.1,0.3
Matt Barnes,PHO,08/09,10.2,5.5,2.8,0.561,3.0,0,107,111,12.6,-0.4,18.3,0.8
Luol Deng,CHI,08/09,14.1,6.0,1.9,0.5,3.0,0,106,109,14.7,-0.4,20.0,0.7
C.J. Miles,UTA,08/09,9.1,2.3,1.5,0.585,2.9,0,109,110,11.8,-1.6,18.4,0.2
Tony Battie,ORL,08/09,4.8,3.6,0.4,0.72,2.8,0,106,102,11.9,-1.6,15.6,0.1
Anthony Johnson,ORL,08/09,5.3,1.8,2.5,0.72,2.8,0,104,105,10.3,-0.8,15.5,0.4
Jason Thompson,SAC,08/09,11.1,7.4,1.1,0.207,2.7,0,106,114,13.9,-4.2,19.3,-1.3
Amir Johnson,DET,08/09,3.5,3.7,0.3,0.476,2.7,0,120,105,13.5,-1.4,11.1,0.1
Tracy McGrady,HOU,08/09,15.6,4.4,5.0,0.646,2.7,0,105,104,16.3,2.3,24.5,1.3
Renaldo Balkman,DEN,08/09,5.0,3.8,0.6,0.659,2.6,0,118,103,16.8,1.4,14.9,0.7
Von Wafer,HOU,08/09,9.7,1.8,1.1,0.646,2.6,0,106,106,14.7,0.2,23.6,0.7
Andrew Bogut,MIL,08/09,11.7,10.2,2.0,0.415,2.6,0,107,105,16.2,1.3,17.8,1.0
Carlos Boozer,UTA,08/09,16.2,10.4,2.1,0.585,2.6,0,105,105,17.2,-0.6,24.4,0.4
Kirk Hinrich,CHI,08/09,9.9,2.4,3.9,0.5,2.6,0,108,109,13.9,0.9,18.1,1.0
Ryan Gomes,MIN,08/09,13.3,4.8,1.6,0.293,2.5,0,104,113,12.5,-1.7,20.4,0.2
Ryan Anderson,BRK,08/09,7.4,4.7,0.8,0.415,2.5,0,108,109,13.6,-1.1,18.6,0.3
Darius Songaila,WAS,08/09,7.4,2.9,1.2,0.232,2.4,0,111,113,13.9,-2.0,17.1,0.0
Francisco García,SAC,08/09,12.7,3.4,2.3,0.207,2.4,0,107,114,14.1,-0.3,19.4,0.8
Willie Green,PHI,08/09,8.5,1.6,2.0,0.5,2.3,0,105,112,11.1,-2.1,18.9,0.0
JJ Redick,ORL,08/09,6.0,1.7,1.1,0.72,2.3,0,107,106,9.9,-1.0,16.4,0.3
Kobe Bryant,LAL,07/08,28.3,6.3,5.4,0.695,13.8,1,115,105,24.2,5.8,31.4,6.3
Carlos Boozer,UTA,07/08,21.1,10.4,2.9,0.659,10.2,0,112,103,21.9,2.8,26.6,3.5
Chris Bosh,TOR,07/08,22.3,8.7,2.6,0.5,10.1,0,117,105,23.8,4.4,27.7,3.9
Rashard Lewis,ORL,07/08,18.2,5.4,2.4,0.634,9.8,0,115,106,16.7,3.1,20.7,4.0
Ray Allen,BOS,07/08,17.4,3.7,3.1,0.805,9.7,0,116,103,16.4,3.0,21.6,3.3
Lamar Odom,LAL,07/08,14.2,10.6,3.5,0.695,9.7,0,116,104,16.9,2.3,16.5,3.2
Antawn Jamison,WAS,07/08,21.4,10.2,1.5,0.524,9.2,0,112,107,20.3,1.7,25.9,2.9
Hedo Türkoğlu,ORL,07/08,19.5,5.7,5.0,0.634,9.0,0,111,107,17.8,2.7,24.8,3.6
Monta Ellis,GSW,07/08,20.2,5.0,3.9,0.585,9.0,0,117,111,19.0,1.6,21.7,2.8
Baron Davis,GSW,07/08,21.8,4.7,7.6,0.585,8.7,0,111,109,19.8,3.6,25.6,4.5
Jason Terry,DAL,07/08,15.5,2.5,3.2,0.622,8.6,0,118,108,17.8,3.1,21.7,3.3
Mike Dunleavy,IND,07/08,19.1,5.2,3.5,0.439,8.5,0,115,109,17.3,1.7,21.8,2.8
Kevin Martin,SAC,07/08,23.7,4.5,2.1,0.463,8.4,0,121,112,21.0,2.4,26.2,2.4
David West,NOP,07/08,20.6,8.9,2.3,0.683,8.4,0,109,104,19.9,1.5,26.3,2.6
Yao Ming,HOU,07/08,22.0,10.8,2.3,0.671,8.3,0,112,99,22.5,3.4,27.1,2.8
Andre Miller,PHI,07/08,17.0,4.0,6.9,0.488,8.3,0,112,109,18.4,1.8,22.6,2.9
Carmelo Anthony,DEN,07/08,25.7,7.4,3.4,0.61,8.2,0,109,107,21.1,1.6,30.2,2.5
Shane Battier,HOU,07/08,9.3,5.1,1.9,0.671,8.2,0,117,103,11.7,2.0,11.7,2.9
Peja Stojaković,NOP,07/08,16.4,4.3,1.2,0.683,8.1,0,119,109,15.7,1.7,19.7,2.5
Josh Howard,DAL,07/08,19.9,7.0,2.2,0.622,8.0,0,111,106,18.3,1.2,25.9,2.2
Andris Biedriņš,GSW,07/08,10.5,9.8,1.0,0.585,8.0,0,127,106,19.2,1.1,14.4,1.6
Brandon Roy,POR,07/08,19.1,4.7,5.8,0.5,8.0,0,113,110,19.4,3.3,24.9,3.6
Ronnie Brewer,UTA,07/08,12.0,2.9,1.8,0.659,7.8,0,124,106,18.4,3.8,17.5,3.1
Vince Carter,BRK,07/08,21.3,6.0,5.1,0.415,7.7,0,111,110,18.8,2.4,25.6,3.3
Al Jefferson,MIN,07/08,21.0,11.1,1.4,0.268,7.7,0,109,108,22.7,1.6,27.5,2.6
Richard Hamilton,DET,07/08,17.3,3.3,4.2,0.72,7.7,0,113,106,18.2,2.3,24.5,2.6
Richard Jefferson,BRK,07/08,22.6,4.2,3.1,0.415,7.6,0,112,112,17.4,0.3,26.1,1.8
Rasheed Wallace,DET,07/08,12.7,6.6,1.8,0.72,7.6,0,108,98,17.2,4.1,20.5,3.6
Josh Childress,ATL,07/08,11.8,4.9,1.5,0.451,7.6,0,127,110,17.8,2.0,15.8,2.3
Tayshaun Prince,DET,07/08,13.2,4.9,3.3,0.72,7.5,0,112,106,15.6,1.6,19.9,2.5
Jason Richardson,CHO,07/08,21.8,5.4,3.1,0.39,7.4,0,109,109,18.4,3.0,25.9,4.0
David Lee,NYK,07/08,10.8,8.9,1.2,0.28,7.4,0,123,110,18.0,0.4,15.6,1.4
Danny Granger,IND,07/08,19.6,6.1,2.1,0.439,7.3,0,110,107,16.7,1.4,23.2,2.5
Caron Butler,WAS,07/08,20.3,6.7,4.9,0.524,7.2,0,113,107,20.7,4.1,24.0,3.5
Rajon Rondo,BOS,07/08,10.6,4.2,5.1,0.805,7.2,0,107,98,15.6,2.1,18.9,2.4
Andrei Kirilenko,UTA,07/08,11.0,4.7,4.0,0.659,7.1,0,118,105,17.2,5.2,16.1,4.0
Tony Parker,SAS,07/08,18.8,3.2,6.0,0.683,7.0,0,109,105,20.0,2.4,28.2,2.6
Joe Johnson,ATL,07/08,21.7,4.5,5.8,0.451,7.0,0,109,112,17.3,1.2,25.6,2.7
Corey Maggette,LAC,07/08,22.1,5.6,2.7,0.28,6.9,0,112,110,19.3,1.9,27.6,2.4
Samuel Dalembert,PHI,07/08,10.5,10.4,0.5,0.488,6.9,0,109,103,15.6,-1.0,15.4,0.7
Brendan Haywood,WAS,07/08,10.6,7.2,0.9,0.524,6.8,0,119,109,18.3,-0.2,17.3,1.0
Antonio McDyess,DET,07/08,8.8,8.5,1.1,0.72,6.7,0,110,100,14.1,-0.5,15.3,0.9
Mehmet Okur,UTA,07/08,14.5,7.7,2.0,0.659,6.7,0,114,107,15.2,0.8,19.6,1.7
Brad Miller,SAC,07/08,13.4,9.5,3.7,0.463,6.5,0,112,107,16.8,1.7,18.3,2.3
Luis Scola,HOU,07/08,10.3,6.4,1.3,0.671,6.5,0,111,101,16.1,0.0,19.8,1.0
Jeff Foster,IND,07/08,6.4,8.7,1.7,0.439,6.5,0,126,105,15.7,0.5,11.5,1.2
Jason Maxiell,DET,07/08,7.9,5.3,0.6,0.72,6.3,0,117,103,16.7,-0.1,17.0,0.8
LaMarcus Aldridge,POR,07/08,17.8,7.6,1.6,0.5,6.2,0,108,107,18.5,0.2,25.3,1.5
Anthony Parker,TOR,07/08,12.5,4.1,2.2,0.5,6.2,0,113,108,14.4,0.9,17.4,1.9
James Posey,BOS,07/08,7.4,4.4,1.5,0.805,6.2,0,114,98,12.0,2.5,13.5,2.1
Troy Murphy,IND,07/08,12.2,7.2,2.2,0.439,6.2,0,115,106,16.0,1.2,18.4,1.7
Kendrick Perkins,BOS,07/08,6.9,6.1,1.1,0.805,6.2,0,110,97,13.3,0.5,13.5,1.2
Fabricio Oberto,SAS,07/08,4.8,5.2,1.2,0.683,6.1,0,125,101,13.8,0.4,10.9,1.0
Zydrunas Ilgauskas,CLE,07/08,14.1,9.3,1.4,0.549,6.1,0,108,104,18.7,-0.4,22.9,0.9
Erick Dampier,DAL,07/08,6.1,7.5,0.9,0.622,6.0,0,123,103,15.3,1.1,11.2,1.4
Grant Hill,PHO,07/08,13.1,5.0,2.9,0.671,5.9,0,115,108,15.7,1.4,18.0,1.9
Tracy McGrady,HOU,07/08,21.6,5.1,5.9,0.671,5.8,0,104,103,18.4,2.9,30.4,3.1
Michael Redd,MIL,07/08,22.7,4.3,3.4,0.317,5.8,0,112,115,18.8,1.5,27.3,2.4
Emeka Okafor,CHO,07/08,13.8,10.7,0.9,0.39,5.8,0,106,105,17.4,-1.1,20.0,0.6
Josh Smith,ATL,07/08,17.2,8.2,3.4,0.451,5.8,0,102,103,19.0,3.0,25.0,3.7
Marvin Williams,ATL,07/08,14.8,5.7,1.7,0.451,5.7,0,110,110,14.5,-1.4,20.1,0.4
Derek Fisher,LAL,07/08,11.7,2.1,2.9,0.695,5.7,0,114,109,13.8,-0.4,18.6,0.9
Jamario Moon,TOR,07/08,8.5,6.2,1.2,0.5,5.7,0,110,102,15.0,1.9,14.4,2.2
Jameer Nelson,ORL,07/08,10.9,3.5,5.6,0.634,5.6,0,113,107,15.5,1.2,19.0,1.6
Leandro Barbosa,PHO,07/08,15.6,2.8,2.6,0.671,5.5,0,111,111,15.8,0.2,22.8,1.4
Al Horford,ATL,07/08,10.1,9.7,1.5,0.451,5.5,0,108,106,14.7,-1.6,16.0,0.3
Al Harrington,GSW,07/08,13.6,5.4,1.6,0.585,5.4,0,113,110,15.6,0.2,21.1,1.2
Paul Millsap,UTA,07/08,8.1,5.6,1.0,0.659,5.2,0,112,103,16.1,-0.2,18.1,0.8
Ben Gordon,CHI,07/08,18.6,3.1,3.0,0.402,5.1,0,110,111,16.4,0.9,26.0,1.7
Jamal Crawford,NYK,07/08,20.6,2.6,5.0,0.28,5.0,0,109,115,16.0,0.3,24.6,1.9
Mike Miller,MEM,07/08,16.4,6.7,3.4,0.268,5.0,0,112,112,16.1,1.1,19.8,2.0
Rudy Gay,MEM,07/08,20.1,6.2,2.0,0.268,5.0,0,106,110,17.4,0.8,25.0,2.1
Kenyon Martin,DEN,07/08,12.4,6.5,1.3,0.61,5.0,0,108,104,14.7,-0.8,17.4,0.6
Rafer Alston,HOU,07/08,13.1,3.5,5.3,0.671,5.0,0,102,103,13.2,0.5,20.7,1.6
Keith Bogans,ORL,07/08,8.7,3.2,1.3,0.634,4.9,0,113,107,10.9,0.6,14.4,1.4
Ryan Gomes,MIN,07/08,12.6,5.8,1.8,0.268,4.8,0,112,112,15.7,-0.1,19.5,1.1
Andrew Bogut,MIL,07/08,14.3,9.8,2.6,0.317,4.8,0,107,109,17.5,0.0,20.2,1.4
Andrew Bynum,LAL,07/08,13.1,10.2,1.7,0.695,4.8,0,127,101,22.6,4.2,17.5,1.6
Linas Kleiza,DEN,07/08,11.1,4.2,1.2,0.61,4.7,0,114,109,14.4,-0.9,18.9,0.5
Metta World Peace,SAC,07/08,20.5,5.8,3.5,0.463,4.7,0,106,108,18.8,2.8,25.5,2.6
Gerald Wallace,CHO,07/08,19.4,6.0,3.5,0.39,4.6,0,104,106,17.5,2.1,24.6,2.5
Stephen Jackson,GSW,07/08,20.1,4.4,4.1,0.585,4.6,0,107,112,14.9,-0.2,23.1,1.3
Mikki Moore,SAC,07/08,8.5,6.0,1.0,0.463,4.6,0,116,111,11.5,-2.4,12.7,-0.3
Mo Williams,MIL,07/08,17.2,3.5,6.3,0.317,4.5,0,111,114,17.0,0.3,22.1,1.4
Nick Collison,OKC,07/08,9.8,9.4,1.4,0.244,4.5,0,109,107,15.0,-1.4,16.2,0.3
Thaddeus Young,PHI,07/08,8.2,4.2,0.8,0.488,4.5,0,115,106,16.5,0.5,17.4,1.0
Raja Bell,PHO,07/08,11.9,3.7,2.2,0.671,4.5,0,113,111,10.5,-0.8,14.5,0.8
Antonio Daniels,WAS,07/08,8.4,2.9,4.8,0.524,4.5,0,117,112,13.7,-0.8,13.5,0.7
Chuck Hayes,HOU,07/08,3.0,5.4,1.2,0.671,4.4,0,107,97,11.2,0.8,8.5,1.1
Lou Williams,PHI,07/08,11.5,2.1,3.2,0.488,4.4,0,108,108,16.7,1.4,24.3,1.6
Bruce Bowen,SAS,07/08,6.0,2.9,1.1,0.683,4.4,0,106,105,7.0,-1.4,9.9,0.4
Luol Deng,CHI,07/08,17.0,6.3,2.5,0.402,4.4,0,107,109,17.0,0.1,23.6,1.1
Leon Powe,BOS,07/08,7.9,4.1,0.3,0.805,4.3,0,124,100,20.9,0.2,22.8,0.5
Brandon Bass,DAL,07/08,8.3,4.4,0.7,0.622,4.3,0,112,106,15.9,-0.4,19.8,0.6
Joel Przybilla,POR,07/08,4.8,8.4,0.4,0.5,4.3,0,111,104,12.3,-1.7,10.4,0.1
Francisco García,SAC,07/08,12.3,3.3,1.6,0.463,4.2,0,108,109,15.1,0.8,20.7,1.5
Ronny Turiaf,LAL,07/08,6.6,3.9,1.6,0.695,4.2,0,112,104,15.0,0.7,16.7,1.0
Michael Finley,SAS,07/08,10.1,3.1,1.4,0.683,4.2,0,105,105,11.4,-0.6,18.5,0.8
DeShawn Stevenson,WAS,07/08,11.2,2.9,3.1,0.524,4.1,0,111,113,12.6,-0.2,17.4,1.2
Eduardo Nájera,DEN,07/08,5.9,4.3,1.2,0.61,4.1,0,116,106,12.1,0.2,11.9,0.9
Daniel Gibson,CLE,07/08,10.4,2.3,2.5,0.549,4.1,0,116,110,11.7,-0.4,15.1,0.7
Carlos Delfino,TOR,07/08,9.0,4.4,1.8,0.5,4.0,0,107,106,13.6,0.4,19.0,1.2
Jordan Farmar,LAL,07/08,9.1,2.2,2.7,0.695,3.9,0,109,107,15.4,1.3,20.2,1.4
Eddie House,BOS,07/08,7.5,2.1,1.9,0.805,3.9,0,105,100,13.0,1.8,19.6,1.4
Rasho Nesterović,TOR,07/08,7.8,4.8,1.2,0.5,3.9,0,114,107,16.1,0.0,17.4,0.7
Joakim Noah,CHI,07/08,6.6,5.6,1.1,0.402,3.8,0,109,104,15.5,-0.2,15.6,0.7
Steve Blake,POR,07/08,8.5,2.4,5.1,0.5,3.8,0,109,112,12.0,-0.5,15.3,0.9
Morris Peterson,NOP,07/08,8.0,2.7,0.9,0.683,3.8,0,112,108,11.2,-0.3,15.4,0.8
Anthony Carter,DEN,07/08,7.8,2.9,5.5,0.61,3.8,0,108,107,12.8,-0.1,13.8,1.0
J.R. Smith,DEN,07/08,12.3,2.1,1.7,0.61,3.7,0,111,109,18.1,2.6,25.8,1.6
Carl Landry,HOU,07/08,8.1,4.9,0.5,0.671,3.7,0,130,102,21.4,1.5,18.8,0.6
James Jones,POR,07/08,8.0,2.8,0.6,0.5,3.7,0,126,111,13.6,1.3,14.8,1.1
John Salmons,SAC,07/08,12.5,4.3,2.6,0.463,3.7,0,106,110,13.9,-0.6,19.2,0.9
Josh Boone,BRK,07/08,8.2,7.3,0.8,0.415,3.7,0,110,108,14.8,-1.8,15.4,0.1
Keyon Dooling,ORL,07/08,8.1,1.4,1.8,0.634,3.7,0,115,108,14.1,-0.6,19.6,0.5
Sasha Vujačić,LAL,07/08,8.8,2.1,1.0,0.695,3.6,0,116,108,15.1,1.2,19.8,1.0
Kirk Hinrich,CHI,07/08,11.5,3.3,6.0,0.402,3.6,0,104,109,13.1,-0.8,18.9,0.7
Craig Smith,MIN,07/08,9.4,4.6,0.8,0.268,3.5,0,113,111,16.7,-1.3,20.6,0.3
Martell Webster,POR,07/08,10.7,3.9,1.2,0.5,3.5,0,107,110,12.0,-0.2,18.0,1.0
Vladimir Radmanović,LAL,07/08,8.4,3.3,1.9,0.695,3.5,0,113,108,12.6,0.2,16.0,0.8
Luther Head,HOU,07/08,7.6,1.8,1.9,0.671,3.5,0,108,104,13.6,0.8,19.3,1.0
Roger Mason,WAS,07/08,9.0,1.6,1.7,0.524,3.4,0,114,113,13.8,0.0,18.9,0.9
Kyle Lowry,MEM,07/08,9.6,3.0,3.6,0.268,3.4,0,108,111,14.3,-0.9,18.6,0.6
Kelenna Azubuike,GSW,07/08,8.5,4.0,0.9,0.585,3.4,0,112,111,13.5,-0.8,17.2,0.5
Chris Wilcox,OKC,07/08,13.4,7.0,1.2,0.244,3.4,0,107,108,16.3,-1.0,21.2,0.4
Raymond Felton,CHO,07/08,14.4,3.0,7.4,0.39,3.4,0,104,112,13.8,-2.1,20.8,-0.1
Dwyane Wade,MIA,07/08,24.6,4.2,6.9,0.183,3.3,0,103,110,21.5,2.9,33.1,2.3
Hakim Warrick,MEM,07/08,11.4,4.7,0.7,0.268,3.3,0,110,112,16.2,-1.9,21.6,0.0
T.J. Ford,TOR,07/08,12.1,2.0,6.1,0.5,3.3,0,109,108,20.3,2.5,26.8,1.4
Andrés Nocioni,CHI,07/08,13.2,4.2,1.2,0.402,3.3,0,104,109,13.6,-0.8,24.5,0.6
Nate Robinson,NYK,07/08,12.7,3.1,2.9,0.28,3.2,0,109,113,15.3,0.0,23.1,1.0
Travis Outlaw,POR,07/08,13.3,4.6,1.3,0.5,3.2,0,102,107,15.7,-0.3,26.0,1.0
Channing Frye,POR,07/08,6.8,4.5,0.7,0.5,3.2,0,109,106,14.8,-1.8,19.6,0.1
Jarrett Jack,POR,07/08,9.9,2.9,3.8,0.5,3.2,0,105,110,13.0,-1.2,19.3,0.5
Luke Walton,LAL,07/08,7.2,3.9,2.9,0.695,3.2,0,106,107,12.3,-0.3,16.0,0.7
Boris Diaw,PHO,07/08,8.8,4.6,3.9,0.671,3.0,0,103,109,12.0,-0.8,16.6,0.7
Amir Johnson,DET,07/08,3.6,3.8,0.5,0.72,3.0,0,115,95,17.5,1.3,14.1,0.6
Damon Jones,CLE,07/08,6.5,1.1,1.9,0.549,3.0,0,121,112,11.3,-0.4,14.0,0.5
Andray Blatche,WAS,07/08,7.5,5.2,1.1,0.524,3.0,0,103,105,15.5,-1.7,19.7,0.1
Matt Carroll,CHO,07/08,9.0,2.8,0.9,0.39,3.0,0,110,112,10.7,-2.0,16.1,0.0
Zach Randolph,NYK,07/08,17.6,10.3,2.0,0.28,3.0,0,101,109,18.0,-0.6,27.4,0.8
Jared Dudley,CHO,07/08,5.8,3.9,1.1,0.39,2.9,0,112,109,13.6,-0.7,14.9,0.4
Jarvis Hayes,DET,07/08,6.7,2.2,0.8,0.72,2.9,0,105,104,13.0,-0.6,21.1,0.5
Earl Watson,OKC,07/08,10.7,2.9,6.8,0.244,2.9,0,105,112,14.6,-0.9,18.8,0.6
Mickaël Piétrus,GSW,07/08,7.2,3.7,0.7,0.585,2.8,0,111,107,12.7,-0.2,15.3,0.6
Carlos Arroyo,ORL,07/08,6.9,1.8,3.5,0.634,2.8,0,111,109,12.8,-0.9,17.0,0.3
Ime Udoka,SAS,07/08,5.8,3.1,0.9,0.683,2.8,0,101,100,11.5,0.2,16.7,0.7
Matt Harpring,UTA,07/08,8.2,3.2,1.1,0.659,2.8,0,107,108,14.1,-1.9,21.5,0.0
Reggie Evans,PHI,07/08,5.2,7.5,0.8,0.488,2.7,0,97,103,11.0,-3.0,13.6,-0.5
