Player,Team,Season,PPG,RPG,APG,Winrate,MVP
Paul George,IND,12_13,17.4,7.6,4.1,0.605,0
Al Horford,ATL,12_13,17.4,10.2,3.2,0.537,0
Dirk Nowitzki,DAL,12_13,17.3,6.8,2.5,0.5,0
David West,IND,12_13,17.1,7.7,2.9,0.605,0
DeMarcus Cousins,SAC,12_13,17.1,9.9,2.7,0.341,0
Dwight Howard,LAL,12_13,17.1,12.4,1.4,0.549,0
Eric Gordon,NOH,12_13,17.0,1.8,3.3,0.329,0
Chris Paul,LAC,12_13,16.9,3.7,9.7,0.683,0
Ty Lawson,DEN,12_13,16.7,2.7,6.9,0.695,0
Chris Bosh,MIA,12_13,16.6,6.8,1.7,0.805,0
Klay Thompson,GSW,12_13,16.6,3.7,2.2,0.573,0
Arron Afflalo,ORL,12_13,16.5,3.7,3.2,0.244,0
Jamal Crawford,LAC,12_13,16.5,1.7,2.5,0.683,0
Luol Deng,CHI,12_13,16.5,6.3,3.0,0.549,0
Nikola Pekovic,MIN,12_13,16.3,8.8,0.9,0.378,0
Joe Johnson,BRK,12_13,16.3,3.0,3.5,0.598,0
Carlos Boozer,CHI,12_13,16.2,9.8,2.3,0.549,0
Danilo Gallinari,DEN,12_13,16.2,5.2,2.5,0.695,0
Ryan Anderson,NOH,12_13,16.2,6.4,1.2,0.329,0
Greg Monroe,DET,12_13,16.0,9.6,3.5,0.354,0
Gerald Henderson,CHA,12_13,15.5,3.7,2.6,0.256,0
Chandler Parsons,HOU,12_13,15.5,5.3,3.5,0.549,0
Zach Randolph,MEM,12_13,15.4,11.2,1.4,0.683,0
O.J. Mayo,DAL,12_13,15.3,3.5,4.4,0.5,0
Tyreke Evans,SAC,12_13,15.2,4.4,3.5,0.341,0
Glen Davis,ORL,12_13,15.1,7.2,2.1,0.244,0
Thaddeus Young,PHI,12_13,14.8,7.5,1.6,0.415,0
Wesley Matthews,POR,12_13,14.8,2.8,2.5,0.402,0
Kevin Garnett,BOS,12_13,14.8,7.8,2.3,0.506,0
Goran Dragic,PHO,12_13,14.7,3.1,7.4,0.305,0
Jameer Nelson,ORL,12_13,14.7,3.7,7.4,0.244,0
Dion Waiters,CLE,12_13,14.7,2.4,3.0,0.293,0
Mike Conley,MEM,12_13,14.6,2.8,6.1,0.683,0
Jeff Teague,ATL,12_13,14.6,2.2,7.2,0.537,0
Paul Millsap,UTA,12_13,14.6,7.1,2.6,0.524,0
Ramon Sessions,CHA,12_13,14.4,2.8,3.8,0.256,0
Nicolas Batum,POR,12_13,14.3,5.6,4.9,0.402,0
Amar'e Stoudemire,NYK,12_13,14.2,5.0,0.4,0.659,0
George Hill,IND,12_13,14.2,3.7,4.7,0.605,0
Lou Williams,ATL,12_13,14.1,2.1,3.6,0.537,0
Gordon Hayward,UTA,12_13,14.1,3.1,3.0,0.524,0
Anderson Varejao,CLE,12_13,14.1,14.4,3.4,0.293,0
JJ Redick,MILORL,12_13,14.1,2.2,3.8,,0
Marc Gasol,MEM,12_13,14.1,7.8,4.0,0.683,0
Kevin Martin,OKC,12_13,14.0,2.3,1.4,0.732,0
Raymond Felton,NYK,12_13,13.9,2.9,5.5,0.659,0
Bradley Beal,WAS,12_13,13.9,3.8,2.4,0.354,0
Isaiah Thomas,SAC,12_13,13.9,2.0,4.0,0.341,0
Greivis Vasquez,NOH,12_13,13.9,4.3,9.0,0.329,0
Rajon Rondo,BOS,12_13,13.7,5.6,11.1,0.506,0
Pau Gasol,LAL,12_13,13.7,8.6,4.1,0.549,0
Anthony Davis,NOH,12_13,13.5,8.2,1.0,0.329,0
Vince Carter,DAL,12_13,13.4,4.1,2.4,0.5,0
Jeremy Lin,HOU,12_13,13.4,3.0,6.1,0.549,0
Evan Turner,PHI,12_13,13.3,6.3,4.3,0.415,0
Brandon Knight,DET,12_13,13.3,3.3,4.0,0.354,0
Serge Ibaka,OKC,12_13,13.2,7.7,0.5,0.732,0
Ersan Ilyasova,MIL,12_13,13.2,7.1,1.6,0.463,0
Nate Robinson,CHI,12_13,13.1,2.2,4.4,0.549,0
Nikola Vucevic,ORL,12_13,13.1,11.9,1.9,0.244,0
Wilson Chandler,DEN,12_13,13.0,5.1,1.3,0.695,0
Andre Iguodala,DEN,12_13,13.0,5.3,5.4,0.695,0
Jarrett Jack,GSW,12_13,12.9,3.1,5.6,0.573,0
Mo Williams,UTA,12_13,12.9,2.4,6.2,0.524,0
Jeff Green,BOS,12_13,12.8,3.9,1.6,0.506,0
Luis Scola,PHO,12_13,12.8,6.6,2.2,0.305,0
J.J. Hickson,POR,12_13,12.7,10.4,1.1,0.402,0
Marcus Thornton,SAC,12_13,12.7,2.5,1.3,0.341,0
Steve Nash,LAL,12_13,12.7,2.8,6.7,0.549,0
Andrea Bargnani,TOR,12_13,12.7,3.7,1.1,0.415,0
Nene,WAS,12_13,12.6,6.7,2.9,0.354,0
Metta World Peace,LAL,12_13,12.4,5.0,1.5,0.549,0
Andrei Kirilenko,MIN,12_13,12.4,5.7,2.8,0.378,0
Shawn Marion,DAL,12_13,12.1,7.8,2.4,0.5,0
Corey Brewer,DEN,12_13,12.1,2.9,1.5,0.695,0
Darren Collison,DAL,12_13,12.0,2.7,5.1,0.5,0
Derrick Williams,MIN,12_13,12.0,5.5,0.6,0.378,0
Kawhi Leonard,SAS,12_13,11.9,6.0,1.6,0.707,0
Joakim Noah,CHI,12_13,11.9,11.1,4.0,0.549,0
Roy Hibbert,IND,12_13,11.9,8.3,1.4,0.605,0
Manu Ginobili,SAS,12_13,11.8,3.4,4.6,0.707,0
Tristan Thompson,CLE,12_13,11.7,9.4,1.3,0.293,0
Kyle Lowry,TOR,12_13,11.6,4.7,6.4,0.415,0
Jordan Crawford,BOSWAS,12_13,11.6,3.0,3.2,,0
Kenneth Faried,DEN,12_13,11.5,9.2,1.0,0.695,0
Rodney Stuckey,DET,12_13,11.5,2.8,3.6,0.354,0
Luke Ridnour,MIN,12_13,11.5,2.5,3.8,0.378,0
Martell Webster,WAS,12_13,11.4,3.9,1.9,0.354,0
Robin Lopez,NOH,12_13,11.3,5.6,0.8,0.329,0
Jose Calderon,DETTOR,12_13,11.3,2.4,7.1,,0
J.J. Barea,MIN,12_13,11.3,2.8,4.0,0.378,0
C.J. Miles,CLE,12_13,11.2,2.7,1.0,0.293,0
Ben Gordon,CHA,12_13,11.2,1.7,1.9,0.256,0
Marcin Gortat,PHO,12_13,11.1,8.5,1.2,0.305,0
Spencer Hawes,PHI,12_13,11.0,7.2,2.2,0.415,0
Tobias Harris,MILORL,12_13,11.0,5.2,1.3,,0
Kyle Korver,ATL,12_13,10.9,4.0,2.0,0.537,0
Ray Allen,MIA,12_13,10.9,2.7,1.7,0.805,0
Jared Dudley,PHO,12_13,10.9,3.1,2.6,0.305,0
Jason Thompson,SAC,12_13,10.9,6.7,1.0,0.341,0
Carl Landry,GSW,12_13,10.8,6.0,0.8,0.573,0
Randy Foye,UTA,12_13,10.8,1.5,2.0,0.524,0
Ricky Rubio,MIN,12_13,10.7,4.0,7.3,0.378,0
Alan Anderson,TOR,12_13,10.7,2.3,1.6,0.415,0
Nick Young,PHI,12_13,10.6,2.2,1.4,0.415,0
Byron Mullens,CHA,12_13,10.6,6.4,1.5,0.256,0
Carlos Delfino,HOU,12_13,10.6,3.3,2.0,0.549,0
Jason Richardson,PHI,12_13,10.5,3.8,1.5,0.415,0
Chris Kaman,DAL,12_13,10.5,5.6,0.8,0.5,0
Danny Green,SAS,12_13,10.5,3.0,1.8,0.707,0
Mike Dunleavy,MIL,12_13,10.5,3.9,1.9,0.463,0
Shannon Brown,PHO,12_13,10.5,2.5,1.8,0.305,0
Tyson Chandler,NYK,12_13,10.4,10.7,0.9,0.659,0
Caron Butler,LAC,12_13,10.4,2.9,1.0,0.683,0
Tayshaun Prince,DETMEM,12_13,10.4,4.4,2.4,,0
Patrick Patterson,HOUSAC,12_13,10.4,4.7,1.1,,0
Tiago Splitter,SAS,12_13,10.3,6.4,1.6,0.707,0
Andray Blatche,BRK,12_13,10.3,5.1,1.0,0.598,0
Matt Barnes,LAC,12_13,10.3,4.6,1.5,0.683,0
Alonzo Gee,CLE,12_13,10.3,3.9,1.6,0.293,0
Omer Asik,HOU,12_13,10.1,11.7,0.9,0.549,0
Michael Beasley,PHO,12_13,10.1,3.8,1.5,0.305,0
Jason Terry,BOS,12_13,10.1,2.0,2.5,0.506,0
Amir Johnson,TOR,12_13,10.0,7.5,1.5,0.415,0
Devin Harris,ATL,12_13,9.9,2.0,3.4,0.537,0
Larry Sanders,MIL,12_13,9.8,9.5,1.2,0.463,0
Richard Hamilton,CHI,12_13,9.8,1.7,2.4,0.549,0
Will Bynum,DET,12_13,9.8,1.5,3.6,0.354,0
Emeka Okafor,WAS,12_13,9.7,8.8,1.2,0.354,0
Marco Belinelli,CHI,12_13,9.6,1.9,2.0,0.549,0
Andre Miller,DEN,12_13,9.6,2.9,5.9,0.695,0
Gary Neal,SAS,12_13,9.5,2.1,1.9,0.707,0
Trevor Ariza,WAS,12_13,9.5,4.8,2.0,0.354,0
Derrick Favors,UTA,12_13,9.4,7.1,1.0,0.524,0
Chase Budinger,MIN,12_13,9.4,3.1,1.1,0.378,0
Antawn Jamison,LAL,12_13,9.4,4.8,0.7,0.549,0
Harrison Barnes,GSW,12_13,9.2,4.1,1.2,0.573,0
Dorell Wright,PHI,12_13,9.2,3.8,1.9,0.415,0
Avery Bradley,BOS,12_13,9.2,2.2,2.1,0.506,0
Kevin Seraphin,WAS,12_13,9.1,4.4,0.7,0.354,0
JaVale McGee,DEN,12_13,9.1,4.8,0.3,0.695,0
Michael Kidd-Gilchrist,CHA,12_13,9.0,5.8,1.5,0.256,0
Jonas Valanciunas,TOR,12_13,8.9,6.0,0.7,0.415,0
Tony Allen,MEM,12_13,8.9,4.6,1.2,0.683,0
John Salmons,SAC,12_13,8.8,2.7,3.0,0.341,0
DeAndre Jordan,LAC,12_13,8.8,7.2,0.3,0.683,0
Lance Stephenson,IND,12_13,8.8,3.9,2.9,0.605,0
Kyle Singler,DET,12_13,8.8,4.0,0.9,0.354,0
Dante Cunningham,MIN,12_13,8.7,5.1,0.8,0.378,0
Chris Copeland,NYK,12_13,8.7,2.1,0.5,0.659,0
Jerryd Bayless,MEM,12_13,8.7,2.2,3.3,0.683,0
Brandon Bass,BOS,12_13,8.7,5.2,1.0,0.506,0
Mario Chalmers,MIA,12_13,8.6,2.2,3.5,0.805,0
Alexey Shved,MIN,12_13,8.6,2.3,3.7,0.378,0
Jimmy Butler,CHI,12_13,8.6,4.0,1.4,0.549,0
Eric Bledsoe,LAC,12_13,8.5,3.0,3.1,0.683,0
Brandan Wright,DAL,12_13,8.5,4.1,0.6,0.5,0
Chauncey Billups,LAC,12_13,8.4,1.5,2.2,0.683,0
Marreese Speights,CLEMEM,12_13,8.3,4.9,0.6,,0
Jermaine O'Neal,PHO,12_13,8.3,5.3,0.8,0.305,0
Jason Smith,NOH,12_13,8.2,3.6,0.7,0.329,0
Maurice Harkless,ORL,12_13,8.2,4.4,0.7,0.244,0
Markieff Morris,PHO,12_13,8.2,4.8,1.3,0.305,0
Beno Udrih,MILORL,12_13,8.2,2.1,4.6,,0
Kosta Koufos,DEN,12_13,8.0,6.9,0.4,0.695,0
Wesley Johnson,PHO,12_13,8.0,2.5,0.7,0.305,0
Taj Gibson,CHI,12_13,8.0,5.3,0.9,0.549,0
Andre Drummond,DET,12_13,7.9,7.6,0.5,0.354,0
Jodie Meeks,LAL,12_13,7.9,2.2,0.9,0.549,0
Tyler Zeller,CLE,12_13,7.9,5.7,1.2,0.293,0
Wayne Ellington,CLEMEM,12_13,7.9,2.1,1.3,,0
Kevin Durant,OKC,13_14,32.0,7.4,5.5,0.72,1
Carmelo Anthony,NYK,13_14,27.4,8.1,3.1,0.451,0
LeBron James,MIA,13_14,27.1,6.9,6.3,0.659,0
Kevin Love,MIN,13_14,26.1,12.5,4.4,0.488,0
James Harden,HOU,13_14,25.4,4.7,6.1,0.659,0
Blake Griffin,LAC,13_14,24.1,9.5,3.9,0.695,0
Stephen Curry,GSW,13_14,24.0,4.3,8.5,0.622,0
LaMarcus Aldridge,POR,13_14,23.2,11.1,2.6,0.659,0
DeMarcus Cousins,SAC,13_14,22.7,11.7,2.9,0.341,0
DeMar DeRozan,TOR,13_14,22.7,4.3,4.0,0.585,0
Al Jefferson,CHA,13_14,21.8,10.8,2.1,0.524,0
Russell Westbrook,OKC,13_14,21.8,5.7,6.9,0.72,0
Paul George,IND,13_14,21.7,6.8,3.5,0.683,0
Dirk Nowitzki,DAL,13_14,21.7,6.2,2.7,0.598,0
Kyrie Irving,CLE,13_14,20.8,3.6,6.1,0.402,0
Anthony Davis,NOP,13_14,20.8,10.0,1.6,0.415,0
Brook Lopez,BRK,13_14,20.7,6.0,0.9,0.537,0
Damian Lillard,POR,13_14,20.7,3.5,5.6,0.659,0
Isaiah Thomas,SAC,13_14,20.3,2.9,6.3,0.341,0
Goran Dragic,PHO,13_14,20.3,3.2,5.9,0.585,0
Rudy Gay,SACTOR,13_14,20.0,6.0,2.9,,0
Ryan Anderson,NOP,13_14,19.8,6.5,0.8,0.415,0
John Wall,WAS,13_14,19.3,4.1,8.8,0.537,0
Chris Paul,LAC,13_14,19.1,4.3,10.7,0.695,0
Kevin Martin,MIN,13_14,19.1,3.0,1.8,0.488,0
Dwyane Wade,MIA,13_14,19.0,4.5,4.7,0.659,0
Monta Ellis,DAL,13_14,19.0,3.6,5.7,0.598,0
Jamal Crawford,LAC,13_14,18.6,2.3,3.2,0.695,0
Al Horford,ATL,13_14,18.6,8.4,2.6,0.463,0
Klay Thompson,GSW,13_14,18.4,3.1,2.2,0.622,0
Dwight Howard,HOU,13_14,18.3,12.2,1.8,0.659,0
Arron Afflalo,ORL,13_14,18.2,3.6,3.4,0.28,0
David Lee,GSW,13_14,18.2,9.3,2.1,0.622,0
Paul Millsap,ATL,13_14,17.9,8.5,3.1,0.463,0
Kyle Lowry,TOR,13_14,17.9,4.7,7.4,0.585,0
Thaddeus Young,PHI,13_14,17.9,6.0,2.3,0.232,0
Brandon Knight,MIL,13_14,17.9,3.5,4.9,0.183,0
Nick Young,LAL,13_14,17.9,2.6,1.5,0.329,0
Eric Bledsoe,PHO,13_14,17.7,4.7,5.5,0.585,0
Kemba Walker,CHA,13_14,17.7,4.2,6.1,0.524,0
Ty Lawson,DEN,13_14,17.6,3.5,8.8,0.439,0
Nikola Pekovic,MIN,13_14,17.5,8.7,0.9,0.488,0
Zach Randolph,MEM,13_14,17.4,10.1,2.5,0.61,0
Pau Gasol,LAL,13_14,17.4,9.7,3.4,0.329,0
Mike Conley,MEM,13_14,17.2,2.9,6.0,0.61,0
Bradley Beal,WAS,13_14,17.1,3.7,3.3,0.537,0
Jeff Green,BOS,13_14,16.9,4.6,1.7,0.305,0
Tony Parker,SAS,13_14,16.7,2.3,5.7,0.756,0
Michael Carter-Williams,PHI,13_14,16.7,6.2,6.3,0.232,0
Chandler Parsons,HOU,13_14,16.6,5.5,4.0,0.659,0
Jeff Teague,ATL,13_14,16.5,2.6,6.7,0.463,0
Josh Smith,DET,13_14,16.4,6.8,3.3,0.354,0
Wesley Matthews,POR,13_14,16.4,3.5,2.4,0.659,0
Chris Bosh,MIA,13_14,16.2,6.6,1.1,0.659,0
Gordon Hayward,UTA,13_14,16.2,5.1,5.2,0.305,0
Luol Deng,CHICLE,13_14,16.0,5.7,2.9,,0
Derrick Rose,CHI,13_14,15.9,3.2,4.3,0.585,0
Dion Waiters,CLE,13_14,15.9,2.8,3.0,0.402,0
Gerald Green,PHO,13_14,15.8,3.4,1.5,0.585,0
Joe Johnson,BRK,13_14,15.8,3.4,2.7,0.537,0
Jodie Meeks,LAL,13_14,15.7,2.5,1.8,0.329,0
Brandon Jennings,DET,13_14,15.5,3.0,7.6,0.354,0
Eric Gordon,NOP,13_14,15.4,2.6,3.2,0.415,0
Greg Monroe,DET,13_14,15.2,9.3,2.1,0.354,0
JJ Redick,LAC,13_14,15.2,2.1,2.2,0.695,0
Serge Ibaka,OKC,13_14,15.1,8.8,1.0,0.72,0
Tim Duncan,SAS,13_14,15.1,9.7,3.0,0.756,0
Avery Bradley,BOS,13_14,14.9,3.8,1.4,0.305,0
Tobias Harris,ORL,13_14,14.6,7.0,1.3,0.28,0
Marc Gasol,MEM,13_14,14.6,7.2,3.6,0.61,0
J.R. Smith,NYK,13_14,14.5,4.0,3.0,0.451,0
Tyreke Evans,NOP,13_14,14.5,4.7,5.0,0.415,0
Trevor Ariza,WAS,13_14,14.4,6.2,2.5,0.537,0
Jrue Holiday,NOP,13_14,14.3,4.2,7.9,0.415,0
Deron Williams,BRK,13_14,14.3,2.6,6.1,0.537,0
Nikola Vucevic,ORL,13_14,14.2,11.0,1.8,0.28,0
Nene,WAS,13_14,14.2,5.5,2.9,0.537,0
Gerald Henderson,CHA,13_14,14.0,4.0,2.6,0.524,0
David West,IND,13_14,14.0,6.8,2.8,0.683,0
Evan Turner,INDPHI,13_14,14.0,5.0,3.2,,0
Alec Burks,UTA,13_14,14.0,3.3,2.7,0.305,0
Rodney Stuckey,DET,13_14,13.9,2.3,2.1,0.354,0
Lance Stephenson,IND,13_14,13.8,7.2,4.6,0.683,0
Kobe Bryant,LAL,13_14,13.8,4.3,6.3,0.329,0
Victor Oladipo,ORL,13_14,13.8,4.1,4.1,0.28,0
Markieff Morris,PHO,13_14,13.8,6.0,1.8,0.585,0
Carlos Boozer,CHI,13_14,13.7,8.3,1.6,0.585,0
Kenneth Faried,DEN,13_14,13.7,8.6,1.2,0.439,0
Wilson Chandler,DEN,13_14,13.6,4.7,1.8,0.439,0
Andre Drummond,DET,13_14,13.5,13.2,0.4,0.354,0
Paul Pierce,BRK,13_14,13.5,4.6,2.4,0.537,0
Derrick Favors,UTA,13_14,13.3,8.7,1.2,0.305,0
Andrea Bargnani,NYK,13_14,13.3,5.3,1.1,0.451,0
Jared Sullinger,BOS,13_14,13.3,8.1,1.6,0.305,0
Randy Foye,DEN,13_14,13.2,2.9,3.5,0.439,0
Marcin Gortat,WAS,13_14,13.2,9.5,1.7,0.537,0
Spencer Hawes,CLEPHI,13_14,13.2,8.2,3.0,,0
Jimmy Butler,CHI,13_14,13.1,4.9,2.6,0.585,0
D.J. Augustin,CHITOR,13_14,13.1,1.8,4.4,,0
Reggie Jackson,OKC,13_14,13.1,3.9,4.1,0.72,0
Nicolas Batum,POR,13_14,13.0,7.5,5.1,0.659,0
Tony Wroten,PHI,13_14,13.0,3.2,3.0,0.232,0
Taj Gibson,CHI,13_14,13.0,6.8,1.1,0.585,0
Kawhi Leonard,SAS,13_14,12.8,6.2,2.0,0.756,0
Trey Burke,UTA,13_14,12.8,3.0,5.7,0.305,0
Joakim Noah,CHI,13_14,12.6,11.2,5.4,0.585,0
Jeremy Lin,HOU,13_14,12.5,2.6,4.1,0.659,0
Enes Freedom,UTA,13_14,12.3,7.5,0.9,0.305,0
Manu Ginobili,SAS,13_14,12.3,3.0,4.3,0.756,0
Corey Brewer,MIN,13_14,12.3,2.6,1.7,0.488,0
Ramon Sessions,CHAMIL,13_14,12.3,2.4,4.1,,0
Terrence Jones,HOU,13_14,12.1,6.9,1.1,0.659,0
Khris Middleton,MIL,13_14,12.1,3.8,2.1,0.183,0
Jameer Nelson,ORL,13_14,12.1,3.4,7.0,0.28,0
Kyle Korver,ATL,13_14,12.0,4.0,2.9,0.463,0
Vince Carter,DAL,13_14,11.9,3.5,2.6,0.598,0
Amar'e Stoudemire,NYK,13_14,11.9,4.9,0.5,0.451,0
J.J. Hickson,DEN,13_14,11.8,9.2,1.4,0.439,0
Tristan Thompson,CLE,13_14,11.7,9.2,0.9,0.402,0
O.J. Mayo,MIL,13_14,11.7,2.4,2.2,0.183,0
Rajon Rondo,BOS,13_14,11.7,5.5,9.8,0.305,0
Jose Calderon,DAL,13_14,11.4,2.4,4.7,0.598,0
Marco Belinelli,SAS,13_14,11.4,2.8,2.2,0.756,0
Darren Collison,LAC,13_14,11.4,2.4,3.7,0.695,0
Mike Dunleavy,CHI,13_14,11.3,4.2,2.3,0.585,0
Jonas Valanciunas,TOR,13_14,11.3,8.8,0.7,0.585,0
Andray Blatche,BRK,13_14,11.2,5.3,1.5,0.537,0
Ersan Ilyasova,MIL,13_14,11.2,6.2,1.3,0.183,0
John Henson,MIL,13_14,11.1,7.1,1.6,0.183,0
Brandon Bass,BOS,13_14,11.1,5.7,1.1,0.305,0
Channing Frye,PHO,13_14,11.1,5.1,1.2,0.585,0
DeMarre Carroll,ATL,13_14,11.1,5.5,1.8,0.463,0
Robin Lopez,POR,13_14,11.1,8.5,0.9,0.659,0
Jordan Crawford,BOSGSW,13_14,11.0,2.3,3.5,,0
Terrence Ross,TOR,13_14,10.9,3.1,1.0,0.585,0
Roy Hibbert,IND,13_14,10.8,6.6,1.1,0.683,0
Gary Neal,CHAMIL,13_14,10.5,1.7,1.6,,0
Caron Butler,MILOKC,13_14,10.5,4.1,1.5,,0
DeAndre Jordan,LAC,13_14,10.4,13.6,0.9,0.695,0
Lou Williams,ATL,13_14,10.4,2.1,3.5,0.463,0
Shawn Marion,DAL,13_14,10.4,6.5,1.6,0.598,0
Nate Robinson,DEN,13_14,10.4,1.8,2.5,0.439,0
Amir Johnson,TOR,13_14,10.4,6.6,1.5,0.585,0
Chris Kaman,LAL,13_14,10.4,5.9,1.5,0.329,0
George Hill,IND,13_14,10.3,3.7,3.5,0.683,0
Patrick Beverley,HOU,13_14,10.2,3.5,2.7,0.659,0
Patty Mills,SAS,13_14,10.2,2.1,1.8,0.756,0
Tim Hardaway Jr.,NYK,13_14,10.2,1.5,0.8,0.451,0
Jordan Farmar,LAL,13_14,10.1,2.5,4.9,0.329,0
Richard Jefferson,UTA,13_14,10.1,2.7,1.6,0.305,0
James Anderson,PHI,13_14,10.1,3.8,1.9,0.232,0
Xavier Henry,LAL,13_14,10.0,2.7,1.2,0.329,0
Matt Barnes,LAC,13_14,9.9,4.6,2.0,0.695,0
C.J. Miles,CLE,13_14,9.9,2.0,1.0,0.402,0
Mario Chalmers,MIA,13_14,9.8,2.9,4.9,0.659,0
Marcus Thornton,BRKSAC,13_14,9.8,2.8,1.1,,0
Mo Williams,POR,13_14,9.7,2.1,4.3,0.659,0
Martell Webster,WAS,13_14,9.7,2.8,1.2,0.537,0
Jason Smith,NOP,13_14,9.7,5.8,0.9,0.415,0
Marcus Morris,PHO,13_14,9.7,3.9,1.1,0.585,0
Raymond Felton,NYK,13_14,9.7,3.0,5.6,0.451,0
Jordan Hill,LAL,13_14,9.7,7.4,0.8,0.329,0
Courtney Lee,BOSMEM,13_14,9.6,2.4,1.5,,0
Ray Allen,MIA,13_14,9.6,2.8,2.0,0.659,0
Greivis Vasquez,SACTOR,13_14,9.6,2.2,4.1,,0
Mike Scott,ATL,13_14,9.6,3.6,0.9,0.463,0
Kyle Singler,DET,13_14,9.6,3.7,0.9,0.354,0
Ricky Rubio,MIN,13_14,9.5,4.2,8.6,0.488,0
Jarrett Jack,CLE,13_14,9.5,2.8,4.0,0.402,0
Harrison Barnes,GSW,13_14,9.5,4.0,1.5,0.622,0
Glen Davis,LACORL,13_14,9.4,5.2,1.1,,0
Brian Roberts,NOP,13_14,9.4,1.9,3.2,0.415,0
Timofey Mozgov,DEN,13_14,9.4,6.4,0.8,0.439,0
P.J. Tucker,PHO,13_14,9.4,6.5,1.7,0.585,0
Andre Iguodala,GSW,13_14,9.3,4.7,4.2,0.622,0
Jerryd Bayless,BOSMEM,13_14,9.3,2.0,2.7,,0
Marvin Williams,UTA,13_14,9.1,5.1,1.2,0.305,0
Kirk Hinrich,CHI,13_14,9.1,2.6,3.9,0.585,0
Danny Green,SAS,13_14,9.1,3.4,1.5,0.756,0
Boris Diaw,SAS,13_14,9.1,4.1,2.8,0.756,0
Brandan Wright,DAL,13_14,9.1,4.2,0.5,0.598,0
Wesley Johnson,LAL,13_14,9.1,4.4,1.6,0.329,0
Tony Allen,MEM,13_14,9.0,3.8,1.7,0.61,0
Aaron Brooks,DENHOU,13_14,9.0,1.9,3.2,,0
Ben McLemore,SAC,13_14,8.8,2.9,1.0,0.341,0
Tyson Chandler,NYK,13_14,8.7,9.6,1.1,0.451,0
Kelly Olynyk,BOS,13_14,8.7,5.2,1.6,0.305,0
Will Bynum,DET,13_14,8.7,1.8,3.9,0.354,0
Andrew Bynum,CLEIND,13_14,8.7,5.6,1.1,,0
Mirza Teletovic,BRK,13_14,8.6,3.7,0.8,0.537,0
Patrick Patterson,SACTOR,13_14,8.5,5.3,1.2,,0
Jeremy Lamb,OKC,13_14,8.5,2.4,1.5,0.72,0
Josh McRoberts,CHA,13_14,8.5,4.8,4.3,0.524,0
Troy Daniels,HOU,13_14,8.4,0.8,1.0,0.659,0
Anderson Varejao,CLE,13_14,8.4,9.7,2.2,0.402,0
Evan Fournier,DEN,13_14,8.4,2.7,1.5,0.439,0
Kris Humphries,BOS,13_14,8.4,5.9,1.0,0.305,0
Anthony Morrow,NOP,13_14,8.4,1.8,0.8,0.415,0
J.J. Barea,MIN,13_14,8.4,1.9,3.8,0.488,0
Drew Gooden,WAS,13_14,8.3,5.2,0.7,0.537,0
Russell Westbrook,OKC,14_15,28.1,7.3,8.6,0.549,0
James Harden,HOU,14_15,27.4,5.7,7.0,0.683,0
Kevin Durant,OKC,14_15,25.4,6.6,4.1,0.549,0
LeBron James,CLE,14_15,25.3,6.0,7.4,0.646,0
Anthony Davis,NOP,14_15,24.4,10.2,2.2,0.549,0
Carmelo Anthony,NYK,14_15,24.2,6.6,3.0,0.207,0
DeMarcus Cousins,SAC,14_15,24.1,12.7,3.6,0.354,0
Stephen Curry,GSW,14_15,23.8,4.3,7.7,0.817,1
LaMarcus Aldridge,POR,14_15,23.4,10.2,1.7,0.622,0
Kobe Bryant,LAL,14_15,22.3,5.7,5.6,0.256,0
Blake Griffin,LAC,14_15,21.9,7.6,5.3,0.683,0
Kyrie Irving,CLE,14_15,21.7,3.2,5.2,0.646,0
Klay Thompson,GSW,14_15,21.7,3.2,2.9,0.817,0
Dwyane Wade,MIA,14_15,21.5,3.5,4.8,0.451,0
Chris Bosh,MIA,14_15,21.1,7.0,2.2,0.451,0
Rudy Gay,SAC,14_15,21.1,5.9,3.7,0.354,0
Damian Lillard,POR,14_15,21.0,4.6,6.2,0.622,0
DeMar DeRozan,TOR,14_15,20.1,4.6,3.5,0.598,0
Jimmy Butler,CHI,14_15,20.0,5.8,3.3,0.61,0
Kevin Martin,MIN,14_15,20.0,3.6,2.3,0.195,0
Nikola Vucevic,ORL,14_15,19.3,10.9,2.0,0.305,0
Gordon Hayward,UTA,14_15,19.3,4.9,4.1,0.463,0
Chris Paul,LAC,14_15,19.1,4.6,10.2,0.683,0
Monta Ellis,DAL,14_15,18.9,2.4,4.1,0.61,0
Pau Gasol,CHI,14_15,18.5,11.8,2.7,0.61,0
Victor Oladipo,ORL,14_15,17.9,4.2,4.1,0.305,0
Kyle Lowry,TOR,14_15,17.8,4.7,6.8,0.598,0
Derrick Rose,CHI,14_15,17.7,3.2,4.9,0.61,0
John Wall,WAS,14_15,17.6,4.6,10.0,0.561,0
Marc Gasol,MEM,14_15,17.4,7.8,3.8,0.671,0
Kemba Walker,CHO,14_15,17.3,3.5,5.1,0.402,0
Dirk Nowitzki,DAL,14_15,17.3,5.9,1.9,0.61,0
Brook Lopez,BRK,14_15,17.2,7.4,0.7,0.463,0
Tobias Harris,ORL,14_15,17.1,6.3,1.8,0.305,0
Eric Bledsoe,PHO,14_15,17.0,5.2,6.1,0.476,0
Brandon Knight,MILPHO,14_15,17.0,3.9,5.2,,0
Andrew Wiggins,MIN,14_15,16.9,4.6,2.1,0.195,0
