Player,Team,Season,PPG,RPG,APG,Winrate,MVP
Kobe Bryant,LAL,05_06,35.4,5.3,4.5,0.549,1
Allen Iverson,PHI,05_06,33.0,3.2,7.4,0.463,1
LeBron James,CLE,05_06,31.4,7.0,6.6,0.61,1
Gilbert Arenas,WAS,05_06,29.3,3.5,6.0,0.512,0
Dwyane Wade,MIA,05_06,27.2,5.7,6.7,0.634,1
Paul Pierce,BOS,05_06,26.8,6.7,4.7,0.402,0
Dirk Nowitzki,DAL,05_06,26.6,9.0,2.8,0.732,1
Carmelo Anthony,DEN,05_06,26.5,4.9,2.7,0.537,0
Michael Redd,MIL,05_06,25.4,4.3,2.9,0.488,0
Ray Allen,SEA,05_06,25.1,4.3,3.7,0.427,0
Elton Brand,LAC,05_06,24.7,10.0,2.6,0.573,1
Tracy McGrady,HOU,05_06,24.4,6.5,4.8,0.415,0
Vince Carter,NJN,05_06,24.2,5.8,4.3,0.598,0
Jason Richardson,GSW,05_06,23.2,5.8,3.1,0.415,0
Chris Bosh,TOR,05_06,22.5,9.2,2.6,0.329,0
Yao Ming,HOU,05_06,22.3,10.2,1.5,0.415,0
Shawn Marion,PHO,05_06,21.8,11.8,1.8,0.659,1
Kevin Garnett,MIN,05_06,21.8,12.7,4.1,0.402,0
Mike Bibby,SAC,05_06,21.1,2.9,5.4,0.537,0
Antawn Jamison,WAS,05_06,20.5,9.3,1.9,0.512,0
Pau Gasol,MEM,05_06,20.4,8.9,4.6,0.598,0
Mike James,TOR,05_06,20.3,3.3,5.8,0.329,0
Chris Webber,PHI,05_06,20.2,9.9,3.4,0.463,0
Joe Johnson,ATL,05_06,20.2,4.1,6.5,0.317,0
Richard Hamilton,DET,05_06,20.1,3.2,3.4,0.78,0
Rashard Lewis,SEA,05_06,20.1,5.0,2.3,0.427,0
Jermaine O'Neal,IND,05_06,20.1,9.3,2.6,0.5,0
Shaquille O'Neal,MIA,05_06,20.0,9.2,1.9,0.634,0
Richard Jefferson,NJN,05_06,19.5,6.8,3.8,0.598,0
Ricky Davis,BOSMIN,05_06,19.4,4.5,5.1,,0
Wally Szczerbiak,BOSMIN,05_06,19.0,4.3,3.0,,0
Tony Parker,SAS,05_06,18.9,3.3,5.8,0.768,1
Steve Nash,PHO,05_06,18.8,4.2,10.5,0.659,1
Al Harrington,ATL,05_06,18.6,6.9,3.1,0.317,0
Tim Duncan,SAS,05_06,18.6,11.0,3.2,0.768,1
Chauncey Billups,DET,05_06,18.5,3.1,8.6,0.78,1
Peja Stojaković,INDSAC,05_06,18.2,5.8,1.9,,0
Zach Randolph,POR,05_06,18.0,8.0,1.9,0.256,0
Mehmet Okur,UTA,05_06,18.0,9.1,2.4,0.5,0
Baron Davis,GSW,05_06,17.9,4.4,8.9,0.415,0
Corey Maggette,LAC,05_06,17.8,5.3,2.1,0.573,0
Caron Butler,WAS,05_06,17.6,6.2,2.5,0.512,0
Metta World Peace,INDSAC,05_06,17.6,5.1,3.6,,0
Sam Cassell,LAC,05_06,17.2,3.7,6.3,0.573,0
Jason Terry,DAL,05_06,17.1,2.0,3.8,0.732,0
David West,NOK,05_06,17.1,7.4,1.2,0.463,0
Ben Gordon,CHI,05_06,16.9,2.7,3.0,0.5,0
Morris Peterson,TOR,05_06,16.8,4.6,2.3,0.329,0
Stephen Jackson,IND,05_06,16.4,3.9,2.8,0.5,0
Stephon Marbury,NYK,05_06,16.3,2.9,6.4,0.28,0
Carlos Boozer,UTA,05_06,16.3,8.6,2.7,0.5,0
Chris Paul,NOK,05_06,16.1,5.1,7.8,0.463,0
Kirk Hinrich,CHI,05_06,15.9,3.6,6.3,0.5,0
Dwight Howard,ORL,05_06,15.8,12.5,1.5,0.439,0
Josh Howard,DAL,05_06,15.6,6.3,1.9,0.732,0
Zydrunas Ilgauskas,CLE,05_06,15.6,7.6,1.2,0.61,0
Larry Hughes,CLE,05_06,15.5,4.5,3.6,0.61,0
Andrei Kirilenko,UTA,05_06,15.3,8.0,4.3,0.5,0
Gerald Wallace,CHA,05_06,15.2,7.5,1.7,0.317,0
Grant Hill,ORL,05_06,15.1,3.8,2.3,0.439,0
Rasheed Wallace,DET,05_06,15.1,6.8,2.3,0.78,0
Manu Ginóbili,SAS,05_06,15.1,3.5,3.6,0.768,0
Brad Miller,SAC,05_06,15.0,7.8,4.7,0.537,0
Hedo Türkoğlu,ORL,05_06,14.9,4.3,2.8,0.439,0
Lamar Odom,LAL,05_06,14.8,9.2,5.5,0.549,0
Cuttino Mobley,LAC,05_06,14.8,4.3,3.0,0.573,0
Raja Bell,PHO,05_06,14.7,3.2,2.6,0.659,0
Jameer Nelson,ORL,05_06,14.6,2.9,4.9,0.439,0
Steve Francis,NYKORL,05_06,14.4,4.1,4.9,,0
